gen,split,episode,avg_tps,avg_reward
152,test,153,1.26862e+06,1.26862e+06
153,train,154,1.2771e+06,1.2771e+06
153,test,154,1.2676e+06,1.2676e+06
154,train,155,1.24909e+06,1.24909e+06
154,test,155,1.26448e+06,1.26448e+06
155,train,156,1.17584e+06,1.17584e+06
155,test,156,902988,902988
156,train,157,543893,543893
156,test,157,600985,600985
157,train,158,1.26059e+06,1.26059e+06
157,test,158,1.26137e+06,1.26137e+06
158,train,159,1.28423e+06,1.28423e+06
158,test,159,1.29218e+06,1.29218e+06
159,train,160,1.28946e+06,1.28946e+06
159,test,160,1.32121e+06,1.32121e+06
160,train,161,1.26681e+06,1.26681e+06
160,test,161,1.24058e+06,1.24058e+06
161,train,162,1.16748e+06,1.16748e+06
161,test,162,1.14341e+06,1.14341e+06
162,train,163,1.03694e+06,1.03694e+06
162,test,163,1.01472e+06,1.01472e+06
163,train,164,1.26605e+06,1.26605e+06
163,test,164,1.22533e+06,1.22533e+06
164,train,165,1.26203e+06,1.26203e+06
164,test,165,1.29696e+06,1.29696e+06
165,train,166,1.31016e+06,1.31016e+06
165,test,166,1.37295e+06,1.37295e+06
166,train,167,700267,700266
166,test,167,561088,561088
167,train,168,1.31585e+06,1.31585e+06
167,test,168,1.27427e+06,1.27427e+06
168,train,169,1.18783e+06,1.18783e+06
168,test,169,1.17981e+06,1.17981e+06
169,train,170,614611,614611
169,test,170,638416,638416
170,train,171,1.23676e+06,1.23676e+06
170,test,171,1.22774e+06,1.22774e+06
171,train,172,1.27631e+06,1.27631e+06
171,test,172,1.27743e+06,1.27743e+06
172,train,173,1.32183e+06,1.32183e+06
172,test,173,1.31423e+06,1.31423e+06
173,train,174,1.35168e+06,1.35168e+06
173,test,174,1.31678e+06,1.31678e+06
174,train,175,1.28926e+06,1.28926e+06
174,test,175,1.38163e+06,1.38163e+06
175,train,176,613071,613071
175,test,176,721186,721186
176,train,177,1.40174e+06,1.40174e+06
176,test,177,1.29387e+06,1.29387e+06
177,train,178,778303,778303
177,test,178,791757,791757
178,train,179,1.2761e+06,1.2761e+06
178,test,179,1.27409e+06,1.27409e+06
179,train,180,1.24346e+06,1.24346e+06
179,test,180,1.30446e+06,1.30446e+06
180,train,181,1.25281e+06,1.25281e+06
180,test,181,1.27061e+06,1.27061e+06
181,train,182,1.23521e+06,1.23521e+06
181,test,182,1.23367e+06,1.23367e+06
182,train,183,689261,689261
182,test,183,807896,807896
183,train,184,1.29066e+06,1.29066e+06
183,test,184,1.23529e+06,1.23529e+06
184,train,185,1.23167e+06,1.23167e+06
184,test,185,1.21296e+06,1.21296e+06
185,train,186,733265,733265
185,test,186,687825,687825
186,train,187,1.28745e+06,1.28745e+06
186,test,187,1.27802e+06,1.27802e+06
187,train,188,1.30801e+06,1.30801e+06
187,test,188,1.2734e+06,1.2734e+06
188,train,189,908640,908640
188,test,189,547282,547282
189,train,190,1.25335e+06,1.25335e+06
189,test,190,1.27309e+06,1.27309e+06
190,train,191,1.37506e+06,1.37506e+06
190,test,191,1.291e+06,1.291e+06
191,train,192,1.31347e+06,1.31347e+06
191,test,192,1.30225e+06,1.30225e+06
192,train,193,1.29053e+06,1.29052e+06
192,test,193,1.26672e+06,1.26672e+06
193,train,194,798785,798785
193,test,194,657663,657663
194,train,195,1.271e+06,1.271e+06
194,test,195,1.27759e+06,1.27759e+06
195,train,196,1.36642e+06,1.36642e+06
195,test,196,1.33806e+06,1.33806e+06
196,train,197,1.29838e+06,1.29838e+06
196,test,197,1.18624e+06,1.18624e+06
197,train,198,1.24632e+06,1.24632e+06
197,test,198,1.2969e+06,1.2969e+06
198,train,199,585930,585930
198,test,199,410554,410554
199,train,200,1.20166e+06,1.20166e+06
199,test,200,1.2263e+06,1.2263e+06
200,train,201,1.2931e+06,1.2931e+06
200,test,1,1.25952e+06,1.25952e+06
