iter,train_episode,test_episode,best_r_train,best_s_train,pair_train,pair_test
152,153,153,1.60004e+06,1.67035e+06,1.32061e+06,1.26862e+06
153,154,154,1.60004e+06,1.67035e+06,1.2771e+06,1.2676e+06
154,155,155,1.60004e+06,1.67035e+06,1.24909e+06,1.26448e+06
155,156,156,1.60004e+06,1.67035e+06,1.17584e+06,902988
156,157,157,1.60004e+06,1.67035e+06,543893,600985
157,158,158,1.60004e+06,1.67035e+06,1.26059e+06,1.26137e+06
158,159,159,1.60004e+06,1.67035e+06,1.28423e+06,1.29218e+06
159,160,160,1.60004e+06,1.67035e+06,1.28946e+06,1.32121e+06
160,161,161,1.60004e+06,1.67035e+06,1.26681e+06,1.24058e+06
161,162,162,1.60004e+06,1.67035e+06,1.16748e+06,1.14341e+06
162,163,163,1.60004e+06,1.67035e+06,1.03694e+06,1.01472e+06
163,164,164,1.60004e+06,1.67035e+06,1.26605e+06,1.22533e+06
164,165,165,1.60004e+06,1.67035e+06,1.26203e+06,1.29696e+06
165,166,166,1.60004e+06,1.67035e+06,1.31016e+06,1.37295e+06
166,167,167,1.60004e+06,1.67035e+06,700266,561088
167,168,168,1.60004e+06,1.67035e+06,1.31585e+06,1.27427e+06
168,169,169,1.60004e+06,1.67035e+06,1.18783e+06,1.17981e+06
169,170,170,1.60004e+06,1.67035e+06,614611,638416
170,171,171,1.60004e+06,1.67035e+06,1.23676e+06,1.22774e+06
171,172,172,1.60004e+06,1.67035e+06,1.27631e+06,1.27743e+06
172,173,173,1.60004e+06,1.67035e+06,1.32183e+06,1.31423e+06
173,174,174,1.60004e+06,1.67035e+06,1.35168e+06,1.31678e+06
174,175,175,1.60004e+06,1.67035e+06,1.28926e+06,1.38163e+06
175,176,176,1.60004e+06,1.67035e+06,613071,721186
176,177,177,1.60004e+06,1.67035e+06,1.40174e+06,1.29387e+06
177,178,178,1.60004e+06,1.67035e+06,778303,791757
178,179,179,1.60004e+06,1.67035e+06,1.2761e+06,1.27409e+06
179,180,180,1.60004e+06,1.67035e+06,1.24346e+06,1.30446e+06
180,181,181,1.60004e+06,1.67035e+06,1.25281e+06,1.27061e+06
181,182,182,1.60004e+06,1.67035e+06,1.23521e+06,1.23367e+06
182,183,183,1.60004e+06,1.67035e+06,689261,807896
183,184,184,1.60004e+06,1.67035e+06,1.29066e+06,1.23529e+06
184,185,185,1.60004e+06,1.67035e+06,1.23167e+06,1.21296e+06
185,186,186,1.60004e+06,1.67035e+06,733265,687825
186,187,187,1.60004e+06,1.67035e+06,1.28745e+06,1.27802e+06
187,188,188,1.60004e+06,1.67035e+06,1.30801e+06,1.2734e+06
188,189,189,1.60004e+06,1.67035e+06,908640,547282
189,190,190,1.60004e+06,1.67035e+06,1.25335e+06,1.27309e+06
190,191,191,1.60004e+06,1.67035e+06,1.37506e+06,1.291e+06
191,192,192,1.60004e+06,1.67035e+06,1.31347e+06,1.30225e+06
192,193,193,1.60004e+06,1.67035e+06,1.29052e+06,1.26672e+06
193,194,194,1.60004e+06,1.67035e+06,798785,657663
194,195,195,1.60004e+06,1.67035e+06,1.271e+06,1.27759e+06
195,196,196,1.60004e+06,1.67035e+06,1.36642e+06,1.33806e+06
196,197,197,1.60004e+06,1.67035e+06,1.29838e+06,1.18624e+06
197,198,198,1.60004e+06,1.67035e+06,1.24632e+06,1.2969e+06
198,199,199,1.60004e+06,1.67035e+06,585930,410554
199,200,200,1.60004e+06,1.67035e+06,1.20166e+06,1.2263e+06
200,201,1,1.60004e+06,1.67035e+06,1.2931e+06,1.25952e+06
